university,country,language,non_eng_level,IELTS_min,GPA_min,SAT_min,accept-rate,international_cost_min,international_cost_max,local_rank,global_rank,scholarship,is_public,stud-faculty-ratio,,link
University of Fribourg,Switzerland,"French, German, English",6.0,C1,2.8,0,28,1700,1700,10/12,642,"Yes, the university offers a limited number of scholarships for international students. Students may also be eligible for external scholarships offered by the Swiss government and other external organizations.",Public,9:1,,https://www.unifr.ch/en/
University of St. Gallen (HSG),Switzerland,German,0,C1,3.5,0,27,7700,7700,1/12,351-400,"Yes, the university offers a limited number of scholarships for international students, including the HSG Social Scholarship, a need-based award. There are also scholarships from the Swiss government and other external organizations.",Public,10:1,,https://www.unisg.ch/en/
University of Neuchâtel,Switzerland,"French, German, English",6.0,C1,2.8,0,n,950,1760,12/12,501-600,"Yes, the university offers a limited number of scholarships for international students. Students may also be eligible for external scholarships offered by the Swiss government and other external organizations.",Public,5:1,,https://www.unine.ch/en/
Università della Svizzera italiana (USI),Switzerland,"Italian, English",6.0,C1,2.7,0,82.5,9000,9000,12/12,473,"Yes, the university offers a limited number of scholarships for international students. Students may also be eligible for external scholarships offered by the Swiss government and other external organizations. For example, some scholarships can provide a tuition fee discount of up to CHF 4,000 on master's programs.",Public,4:1,,https://www.usi.ch/en/
Middle East Technical University (METU) (Ankara),Turkiye,English,6.0,0,2.5,0,27,2000,3000,2/208,351,"Yes, Middle East Technical University offers several scholarships for international students, including tuition fee waivers and monthly stipends. These scholarships are highly competitive and are evaluated on the basis of merit.",Public,"The university has approximately 27,000 students, with an average of only 15 students per lecturer, which is a low student-to-faculty ratio.",,https://www.metu.edu.tr/en
Boğaziçi University (Istanbul),Turkiye,English,6.5,0,2.5,0,27,1000,5000,5/208,351,"Yes, Boğaziçi University offers several scholarships for international students, including tuition fee waivers and monthly stipends. These scholarships are highly competitive and are evaluated on the basis of merit.",Public,"The university has approximately 27,000 students, with an average of only 15 students per lecturer, which is a low student-to-faculty ratio.",,https://www.boun.edu.tr/en
Istanbul Technical University (ITU),Turkiye,"English, Turkish",6.0,C1,2.5,0,35,2000,3000,6/208,298,"Yes, Istanbul Technical University offers several scholarships for international students, including tuition fee waivers and monthly stipends. These scholarships are highly competitive and are evaluated on the basis of merit.",Public,"The university has approximately 27,000 students, with an average of only 15 students per lecturer, which is a low student-to-faculty ratio.",,https://www.itu.edu.tr/en
"Koç University (Istanbul, private)",Turkiye,English,6.5,0,2.5,0,10,24300,24300,8/208,351-400,"Yes, Koç University offers several scholarships for international students, including tuition fee waivers and monthly stipends. These scholarships are highly competitive and are evaluated on the basis of merit.",Private,"The university has approximately 7,000 students, with an average of only 10 students per lecturer, which is a low student-to-faculty ratio.",,https://www.ku.edu.tr/en
"Bilkent University (Ankara, private)",Turkiye,English,6.5,0,3.2,1150,30,17600,17600,11/208,415,"Yes, Bilkent University offers several scholarships for international students, including tuition fee waivers and monthly stipends. These scholarships are highly competitive and are evaluated on the basis of merit.",Private,"The university has approximately 13,000 students, with an average of only 13 students per lecturer, which is a low student-to-faculty ratio.",,https://w3.bilkent.edu.tr/bilkent/
"Sabancı University (Istanbul, private)",Turkiye,English,6.5,0,3.2,1130,22,36500,36500,3/208,404,"Yes, Sabancı University offers several scholarships for international students, including tuition fee waivers and monthly stipends. These scholarships are highly competitive and are evaluated on the basis of merit. All international applicants are automatically evaluated for a scholarship when they fulfill the application requirements.",Private,"The university has approximately 5,050 students, with an average of only 17 students per lecturer, which is a low student-to-faculty ratio.",,https://www.sabanciuniv.edu/en
Hacettepe University (Ankara),Turkiye,"Turkish, English",6.0,C1,2.5,0,58,2000,7500,1/208,601-800,"Yes, Hacettepe University offers several scholarships for international students, including tuition fee waivers and monthly stipends. These scholarships are highly competitive and are evaluated on the basis of merit.",Public,"The university has approximately 49,580 students, with an average of only 13 students per lecturer, which is a low student-to-faculty ratio.",,https://www.hacettepe.edu.tr/
Ankara University,Turkiye,"Turkish, English",6.0,C1,2.5,0,58,2000,7500,4/208,601-800,"Yes, Ankara University offers several scholarships for international students, including tuition fee waivers and monthly stipends. These scholarships are highly competitive and are evaluated on the basis of merit.",Public,17:1,,https://www.ankara.edu.tr/en/
Istanbul University,Turkiye,"Turkish, English",6.5,C1,2.6,0,58,2000,7500,3/208,621-630,"Yes, Istanbul University offers several scholarships for international students, including tuition fee waivers and monthly stipends. These scholarships are highly competitive and are evaluated on the basis of merit.",Public,50:1.,,https://www.istanbul.edu.tr/en/_
Ege University (Izmir),Turkiye,"Turkish, English",6.0,C1,3.0,0,55,1000,10000,7/208,1001-1200,"Yes, Ege University offers several scholarships for international students, including tuition fee waivers and monthly stipends. These scholarships are highly competitive and are evaluated on the basis of merit.",Public,"The university has approximately 65,085 students, with an average of only 20 students per lecturer, which is a low student-to-faculty ratio.",,https://www.ege.edu.tr/
Gazi University (Ankara),Turkiye,"Turkish, English",6.0,C1,3.0,0,30,261,2762,12/208,601-800,"Yes, Gazi University offers several scholarships for international students, including tuition fee waivers and monthly stipends. These scholarships are highly competitive and are evaluated on the basis of merit.",Public,20:1,,https://gazi.edu.tr/
Yıldız Technical University (Istanbul),Turkiye,"Turkish, English",6.0,C1,3.0,1150,27,2000,2000,13/208,731-740,"Yes, Yıldız Technical University offers several scholarships for international students, including tuition fee waivers and monthly stipends. These scholarships are highly competitive and are evaluated on the basis of merit.",Public,"The university has approximately 30,000 students, with an average of only 15 students per lecturer, which is a low student-to-faculty ratio.",,https://www.yildiz.edu.tr/en
Dokuz Eylül University (Izmir),Turkiye,"Turkish, English",6.0,C1,2.5,0,55,1000,10000,7/208,1001-1200,"Yes, Dokuz Eylül University offers several scholarships for international students, including tuition fee waivers and monthly stipends. These scholarships are highly competitive and are evaluated on the basis of merit.",Public,"The university has approximately 65,085 students, with an average of only 20 students per lecturer, which is a low student-to-faculty ratio.",,https://www.ege.edu.tr/
Marmara University (Istanbul),Turkiye,"Turkish, English",6.0,C1,2.6,0,58,1000,10000,10/208,1001-1200,"Yes, Marmara University offers several scholarships for international students, including tuition fee waivers and monthly stipends. These scholarships are highly competitive and are evaluated on the basis of merit.",Public,"The university has approximately 62,939 students, with an average of only 10 students per lecturer, which is a low student-to-faculty ratio.",,https://www.marmara.edu.tr/en
Anadolu University (Eskişehir),Turkiye,"Turkish, English",6.0,C1,3.0,0,55,1000,10000,7/208,1001-1200,"Yes, Anadolu University offers several scholarships for international students, including tuition fee waivers and monthly stipends. These scholarships are highly competitive and are evaluated on the basis of merit.",Public,"The university has approximately 65,085 students, with an average of only 20 students per lecturer, which is a low student-to-faculty ratio.",,https://www.anadolu.edu.tr/
Uludağ University (Bursa),Turkiye,"Turkish, English",6.5,C1,2.5,1100,32,655,1816,26/208,1401+,"Yes, Uludağ University offers several scholarships for international students, including tuition fee waivers and monthly stipends. These scholarships are highly competitive and are evaluated on the basis of merit.",Public,"The university has approximately 74,822 students, with an average of only 32 students per lecturer, which is a low student-to-faculty ratio.",,https://www.uludag.edu.tr/en
Çukurova University (Adana),Turkiye,"Turkish, English",6.0,C1,2.5,0,55,1663,1663,9/208,1201-1400,"Yes, Çukurova University offers several scholarships for international students, including tuition fee waivers and monthly stipends. These scholarships are highly competitive and are evaluated on the basis of merit.",Public,17:1,,https://www.cu.edu.tr/en/
Akdeniz University (Antalya),Turkiye,"Turkish, English",4.5,C1,2.0,0,70,1000,10000,21/208,1201-1400,"Yes, Akdeniz University offers several scholarships for international students, including tuition fee waivers and monthly stipends. These scholarships are highly competitive and are evaluated on the basis of merit.",Public,27:1,,https://www.akdeniz.edu.tr/en
Istanbul Medipol University (private),Turkiye,"Turkish, English",6.5,C1,3.0,1000,65,5000,44000,18/208,601-800,"Yes, Istanbul Medipol University offers several scholarships for international students, including tuition fee waivers and monthly stipends. These scholarships are highly competitive and are evaluated on the basis of merit.",Private,14:1,,https://www.medipol.edu.tr/en
Bahçeşehir University (private),Turkiye,"Turkish, English",6.0,C1,3.0,1000,44.5,5950,28000,18/208,601-800,"Yes, Bahçeşehir University offers several scholarships for international students, including tuition fee waivers and monthly stipends. These scholarships are highly competitive and are evaluated on the basis of merit.",Private,14:1,,https://www.bahcesehir.edu.tr/en
TOBB University of Economics and Technology (private),Turkiye,"Turkish, English",6.0,C1,2.8,0,28,16500,16500,27/208,1201-1500,"Yes, TOBB University of Economics and Technology offers several scholarships for international students, including tuition fee waivers and monthly stipends. These scholarships are highly competitive and are evaluated on the basis of merit. All international applicants are automatically evaluated for a scholarship when they fulfill the application requirements.",Private,"The university has approximately 5,805 students, with an average of only 15 students per lecturer, which is a low student-to-faculty ratio.",,https://www.etu.edu.tr/en
Atılım University (private),Turkiye,"Turkish, English",6.0,C1,3.0,1000,28,11000,16500,27/208,1201-1500,"Yes, Atılım University offers several scholarships for international students, including tuition fee waivers and monthly stipends. These scholarships are highly competitive and are evaluated on the basis of merit. All international applicants are automatically evaluated for a scholarship when they fulfill the application requirements.",Private,"The university has approximately 9,249 students, with an average of only 13 students per lecturer, which is a low student-to-faculty ratio.",,https://www.atilim.edu.tr/en
İzmir Institute of Technology,Turkiye,"Turkish, English",5.5,C1,3.2,0,27,7000,7000,20/208,1201-1400,"Yes, İzmir Institute of Technology offers several scholarships for international students, including tuition fee waivers and monthly stipends. These scholarships are highly competitive and are evaluated on the basis of merit.",Public,7:1,,https://www.iyte.edu.tr/en
Gebze Technical University,Turkiye,"Turkish, English",6.0,C1,2.4,1100,27,1000,4000,49/208,1001-1200,"Yes, Gebze Technical University offers several scholarships for international students, including tuition fee waivers and monthly stipends. These scholarships are highly competitive and are evaluated on the basis of merit.",Public,10:1,,https://www.gtu.edu.tr/en
Erciyes University,Turkiye,"Turkish, English",6.0,C1,2.4,1000,58,1400,10000,17/208,1201-1400,"Yes, Erciyes University offers scholarships for international students, including tuition fee waivers and monthly stipends. These are highly competitive and are based on merit. The university also has partnerships with various organizations that offer scholarships to students.",Public,20:1,,https://www.erciyes.edu.tr/en
