University Name,Country,Language of teaching,"Minimum IELTS score
(or average)","Minimum GPA 
(or average)","Minimum SAT score
(or average)",Acceptance rate (%),"Cost per year 
for interational students","Cost per year 
for local students","National ranking","Global ranking",Scholarship (yes/no),"Public/Private","Student to faculty ratio",Link to official website
University of Santiago de Compostela,Spain,"Spanish, Galician, and English","The university requires a B1 level of proficiency for most programs. However, for some master's programs, a B2 level is required, which is equivalent to an IELTS Academic score of 5.5-6.5.",The university does not have a specific minimum GPA requirement. Admission is based on a scoring system that gives weight to both high school grades and the results of a required entrance exam for Spanish universities (UNEDasiss). Some sources state that a minimum GPA of 2.5 is needed to be considered.,"GMAT, GRE, and SAT scores are not a standard requirement. Admission is primarily based on academic qualifications and the UNEDasiss system which validates credentials from foreign educational systems."," reported acceptance rate of 45% from a reputable source. However, certain faculties, especially for medicine and other highly sought-after fields, are highly competitive."," tuition fees for non-EU/EEA students vary significantly by program and degree level. Annual costs can range from $4,000 to $6,000 USD (€3,700 to €5,200) for a bachelor's degree. A one-time application fee is also required.",Fees for Spanish and EU students are generally much lower than for non-EU students and can vary by program and academic performance. The cost is calculated based on credit hours (€ per ECTS credit).,12/89,628,"Yes, although university-specific scholarships are limited.",Public,12:1,https://www.usc.gal/en/
University of the Basque Country,Spain,"Spanish, English, and Basque","The university generally requires a B2 level of English proficiency, which is equivalent to an IELTS Academic score of 6.0-6.5 or a TOEFL iBT score of 79. For programs taught in Spanish or Basque, a high level of proficiency in that language is required.","The university does not have a specific minimum GPA requirement, but a strong academic record is essential for admission. Admission is based on a scoring system that gives weight to both high school grades and the results of a required entrance exam for Spanish universities.","GMAT, GRE, and SAT scores are not a standard requirement. Admission is primarily based on academic qualifications and, for international students, the UNEDasiss system, which validates foreign credentials.","A specific acceptance rate is not publicly available, but a reputable source states a rate of 60%. However, certain faculties, especially for medicine and other highly sought-after fields, are highly competitive.","tuition fees for non-EU/EEA students vary significantly by program and degree level. A typical bachelor's program can cost around $1,900 to $5,100 USD (€1,600 to €4,300) per year, while some master's programs can cost up to $9,083 USD (€8,400) annually.",Fees for Spanish and EU students are generally much lower than for non-EU students and can vary by program and academic performance. The cost is calculated based on credit hours (€ per ECTS credit).,7/89,392,"Yes, although university-specific scholarships are limited.",Public,9:1,https://www.ehu.eus/en/home
University of Zaragoza,Spain,"Spanish, English, and Aragonese","The university generally requires a B2 level of English proficiency, which is met with an IELTS Academic score of 6.5. Some programs may require a higher score.","The university does not have a specific minimum GPA. However, a strong academic record is essential, with some sources stating an average entrance score of 6.5 out of 10. Admission is based on a scoring system that gives weight to high school grades and the results of a required entrance exam for Spanish universities.","GMAT, GRE, and SAT scores are not a standard requirement. Admission is primarily based on academic qualifications and, for international students, the UNEDasiss system which validates credentials from foreign educational systems.","A specific acceptance rate is not publicly available, but a reputable source states a rate of 60%. However, certain faculties, especially for medicine and other highly sought-after fields, are highly competitive.","tuition fees for non-EU/EEA students vary significantly by program and degree level. A bachelor's program can cost from $1,000 to $3,500 USD per year, and master's programs can cost up to $3,000 USD per year. A one-time application fee is also required.",Fees for Spanish and EU students are generally much lower than for non-EU students and can vary by program and academic performance. The cost is calculated based on credit hours (€ per ECTS credit).,14/89,638,"Yes, although university-specific scholarships are limited.",Public,8:1,https://www.unizar.es/en/
University of Malaga,Spain,Spanish and English,"For programs taught in English, a B2 level of proficiency is required, which is equivalent to an IELTS Academic score of 6.0-6.5 or a TOEFL iBT score of 80. For programs taught in Spanish, a high level of proficiency in Spanish is required, typically demonstrated by a DELE certificate or an equivalent exam.",The university does not have a specific minimum GPA requirement. Admission is based on a scoring system that gives weight to high school grades and the results of a required university entrance exam. Some sources suggest a minimum GPA of 2.5 is needed to be considered.,"GMAT, GRE, and SAT scores are not a standard requirement. Admission is primarily based on academic qualifications and, for international students, the UNEDasiss system which validates foreign credentials.","The university is considered an averagely selective institution, with an estimated acceptance rate of 60%. However, certain faculties, especially for medicine and other highly sought-after fields, are highly competitive.","tuition fees for non-EU/EEA students vary significantly by program and degree level. A typical bachelor's degree can cost between $1,500 and $2,000 USD annually. Master's programs can cost up to $9,700 USD (€9,000) per year. A one-time application fee is also required.",Fees for Spanish and EU students are generally much lower than for non-EU students and can vary by program and academic performance. The cost is calculated based on credit hours (€ per ECTS credit).,19/89,781-790,"Yes, although university-specific scholarships are limited.",Public,12:1,https://www.uma.es/en/
Rey Juan Carlos University,Spain,Spanish and English,"The university generally requires a B2 level of English proficiency, which is equivalent to an IELTS Academic score of 6.0-6.5 or a TOEFL iBT score of 79. Some sources indicate a required B1 level for Spanish-taught programs.","The university does not have a specific minimum GPA. However, a strong academic record is essential, as admission is based on a scoring system that gives weight to both high school grades and the results of a required entrance exam for Spanish universities.","GMAT, GRE, and SAT scores are not a standard requirement. Admission is primarily based on academic qualifications and, for international students, the UNEDasiss system which validates credentials from foreign educational systems.","60%. However, certain faculties, especially for medicine and other highly sought-after fields, are highly competitive.","tuition fees for non-EU/EEA students vary significantly by program and degree level. A typical bachelor's program can cost from $1,468 to $2,500 USD annually. Master's programs can cost between $4,000 and $8,000 USD per year. A one-time application fee is also required.",Fees for Spanish and EU students are generally much lower than for non-EU students and can vary by program and academic performance. The cost is calculated based on credit hours (€ per ECTS credit).,32/89,1001-1200,"Yes, although university-specific scholarships are limited.",Public,24:1,https://www.urjc.es/en/
Universitat Jaume I (Castellón),Spain,"Spanish, English, and Catalan","The university generally requires a B2 level of English proficiency for programs taught in English, which is equivalent to an IELTS Academic score of 6.0-6.5. For master's programs, a minimum IELTS score of 5.5 is needed.","The university does not have a specific minimum GPA. However, a strong academic record is crucial for admission. A reputable source states a preferred minimum GPA of 3.0 out of 4.0 or an IB score of 33.","GMAT, GRE, and SAT scores are not a standard requirement. Admission is based on academic qualifications and, for international students, the UNEDasiss system, which validates foreign credentials.",reputable source states that 96.53% of students who took the entrance exams at the university passed in the June 2025 session.,"tuition fees for non-EU/EEA students vary significantly by program and degree level. A typical bachelor's degree can cost between $1,000 to $2,500 USD per year, while master's programs can cost up to $2,432 USD per year.",Fees for Spanish and EU students are generally much lower than for non-EU students and can vary by program and academic performance. The cost is calculated based on credit hours (€ per ECTS credit).,31/89,1001-1200,"Yes, although university-specific scholarships are limited.",Public,9:1,https://www.uji.es/en/
University of Valladolid,Spain,Spanish and English,"For programs taught in English, a B2 level of proficiency is required, which is equivalent to an IELTS Academic score of 6.0-6.5. For programs taught in Spanish, a high level of proficiency in Spanish is required, typically demonstrated by a DELE certificate or an equivalent exam.","The university does not have a specific minimum GPA. However, a strong academic record is essential, with admission based on a scoring system that gives weight to both high school grades and the results of a required entrance exam for Spanish universities.","GMAT, GRE, and SAT scores are not a standard requirement. Admission is primarily based on academic qualifications and, for international students, the UNEDasiss system which validates credentials from foreign educational systems.","reputable source states a rate of 47%. However, certain faculties, especially for medicine and other highly sought-after fields, are highly competitive.","tuition fees for non-EU/EEA students vary significantly by program and degree level. A typical bachelor's program can cost from $1,000 to $2,500 USD per year, while master's programs can cost up to $2,800 USD (€2,580) per semester. A one-time application fee is also required.",Fees for Spanish and EU students are generally much lower than for non-EU students and can vary by program and academic performance. The cost is calculated based on credit hours (€ per ECTS credit).,32/89,901-950,"Yes, although university-specific scholarships are limited.",Public,10:1,https://www.uva.es/en/
University of Murcia,Spain,Spanish and English,"For programs taught in English, a B2 level of proficiency is required, which is equivalent to an IELTS Academic score of 6.0-6.5. For programs taught in Spanish, a high level of proficiency in Spanish is required, typically demonstrated by a DELE certificate or an equivalent exam.",The university does not have a specific minimum GPA requirement. Admission is based on a scoring system that gives weight to both high school grades and the results of a required entrance exam for Spanish universities. Some sources suggest an average entrance score of 6.79 out of 10 for competitive programs.,"GMAT, GRE, and SAT scores are not a standard requirement. Admission is primarily based on academic qualifications and, for international students, the UNEDasiss system which validates credentials from foreign educational systems.","reputable source states a rate of 65%. However, certain faculties, especially for medicine and other highly sought-after fields, are highly competitive.","tuition fees for non-EU/EEA students vary significantly by program and degree level. A typical bachelor's program can cost around $1,000 USD per year, while master's programs can cost up to $3,000 USD per year. A one-time application fee is also required.",Fees for Spanish and EU students are generally much lower than for non-EU students and can vary by program and academic performance. The cost is calculated based on credit hours (€ per ECTS credit).,22/89,1001-1200,"Yes, although university-specific scholarships are limited.",Public,15:1,https://www.um.es/en/
University of Córdoba,Spain,Spanish and English,"For programs taught in English, a B2 level of proficiency is required, which is equivalent to an IELTS Academic score of 6.0-6.5. Some sources suggest a minimum IELTS score of 4.5, but this may be for specific programs or a general requirement for international students. A higher score is generally needed for English-taught programs.",The university does not have a specific minimum GPA requirement. Admission is based on a scoring system that gives weight to both high school grades and the results of a required entrance exam for Spanish universities.,"GMAT, GRE, and SAT scores are not a standard requirement. Admission is primarily based on academic qualifications and, for international students, the UNEDasiss system which validates credentials from foreign educational systems.","reputable source states a rate of 60%. However, certain faculties, especially for medicine and other highly sought-after fields, are highly competitive.","tuition fees for non-EU/EEA students vary significantly by program and degree level. A typical bachelor's program can cost from $1,000 to $2,500 USD per year, while master's programs can cost up to $3,000 USD per year. A one-time application fee is also required.",Fees for Spanish and EU students are generally much lower than for non-EU students and can vary by program and academic performance. The cost is calculated based on credit hours (€ per ECTS credit).,24/89,601-650,"Yes, although university-specific scholarships are limited.",Public,14:1,https://www.uco.es/en/
University of Navarra (private),Spain,Spanish and English,"For most master's programs, a B2 level of English is generally required, which is equivalent to an IELTS Academic score of 6.5 or a TOEFL score of 90. For some bachelor's degrees, a minimum of a B1 level of proficiency may be accepted.","The university does not have a specific minimum GPA requirement. However, a strong academic record is crucial for admission. A reputable source states a minimum GPA of 2.2 is needed to be considered, but competitive applicants often have higher grades.","GMAT, GRE, and SAT scores are not a standard requirement for all programs. However, for certain graduate programs, such as those at the IESE Business School, a GMAT or GRE score is mandatory. For these programs, a GMAT score of 545-715 is the average acceptance range.","The university is considered highly selective, with a reported acceptance rate of 40-49%. Acceptance rates vary significantly by program, with highly competitive fields like medicine having a much lower rate.","tuition fees for non-EU/EEA students vary significantly by program. The average annual tuition fee for bachelor's programs is approximately $11,300 USD (€10,500), while master's programs can cost up to $16,000 USD (€14,800) per year.","The tuition for Spanish and EU students is comparable to the tuition for international students, with some sources stating an average of $11,300 USD per year.",11/89,249,"Yes, although university-specific scholarships are limited.",Private,14:1,https://www.unav.edu/en/
IE University (private),Spain,English and Spanish,"For most programs, a minimum IELTS Academic score of 6.0-6.5 is required. For certain graduate programs like those in the business school, a score of 7.0 or higher may be required. The university also accepts TOEFL, Duolingo, and Cambridge English exams as proof of proficiency.","The university does not have a specific minimum GPA requirement but looks for a strong academic record. A reputable source states an average GPA of 3.15. For applicants from the US, a GPA of 3.2 or higher is often preferred.","For undergraduate programs, a minimum SAT score of 1200 or an ACT score of 24 is required. For some graduate programs, such as those at the IE Business School, a GMAT or GRE score is mandatory. The average GMAT score for admitted students is around 650-700.",reported acceptance rate of 10% for undergraduate programs. The business school's acceptance rate is around 41%.,"tuition fees for non-EU/EEA students vary significantly by program and degree level. A typical bachelor's program can cost from $28,242 to $33,891 USD (€26,105 to €31,348) per year. Master's programs can cost up to $25,757 to $28,242 USD per year. A one-time application fee is also required.",The tuition fees for Spanish and EU students are comparable to the fees for international students.,ranked among the top 10 universities in Spain. It is a top technical university in the country according to EduRank and often ranks in the top 10 overall.,438,"Yes, although university-specific scholarships are limited.",Private,10:1,https://www.ie.edu/university/
ESADE Business School (private),Spain,English and Spanish,"For most programs, a minimum IELTS Academic score of 6.5 is required, with a minimum of 6.0 in each component. The university also accepts TOEFL, Duolingo, and Cambridge English exams as proof of proficiency. For master's programs, a score of 7.0 is required.","ESADE does not have a specific minimum GPA. However, a strong academic record is crucial for admission. A reputable source states an average GPA of 3.15. For applicants from the US, a GPA of 3.2 or higher is often preferred.","For undergraduate programs, a minimum SAT score of 1200 or an ACT score of 24 is required. For some graduate programs, such as those at the ESADE Business School, a GMAT or GRE score is mandatory. The average GMAT score for admitted students is around 660.","reported acceptance rate of 20% for the MBA program. For the MIM program, the acceptance rate is 60%.","tuition fees for non-EU/EEA students vary significantly by program and degree level. A typical bachelor's program can cost from $21,500 USD (€19,900) per year. One-year master's programs can cost up to $40,500 USD (€37,500).",The tuition fees for Spanish and EU students are comparable to the fees for international students.,ranked as a top business school in Spain. It is a top technical university in the country according to EduRank and often ranks in the top 10 overall.,436,"Yes, ESADE offers a range of scholarships, including need-based scholarships that can cover 50% to 85% of the tuition fee, and academic merit awards that can cover up to 100% of tuition for students with outstanding academic records.",Private,10:1,https://www.esade.edu/en/
IESE Business School (private),Spain,English and Spanish,"IESE generally requires a minimum IELTS Academic score of 7.0 for most programs. For MBA applicants, a recommended score is 7.5. The university also accepts TOEFL (minimum 105) and Cambridge English exams as proof of proficiency.","IESE does not have a specific minimum GPA. However, an outstanding academic record is crucial for admission. A reputable source states an average undergraduate GPA of 3.6 out of 4.0 for its latest MBA class.","For most graduate programs, a GMAT or GRE score is mandatory. The average GMAT score for admitted MBA students is around 690, with the middle 80% range being 690. The average GRE score for admitted students is 317.",reported acceptance rate of 25% for the MBA program. The Master in Management (MIM) program has an acceptance rate of 60%.,"tuition fees for non-EU/EEA students vary significantly by program and degree level. A two-year MBA program costs $119,000 USD (€110,000) for the full program. Master's programs can cost up to $56,160 USD (€52,000) per year.",The tuition fees for Spanish and EU students are comparable to the fees for international students.,ranked as a top business school in Spain. It is a top technical university in the country according to EduRank and often ranks in the top 10 overall.,436,"Yes, ESADE offers a range of scholarships, including need-based scholarships that can cover 50% to 85% of the tuition fee, and academic merit awards that can cover up to 100% of tuition for students with outstanding academic records.",Private,12:1,https://www.iese.edu/
Lund University,Sweden,Swedish and English,"For most programs, a minimum IELTS Academic score of 6.5 is required, with no band score lower than 5.5. The university also accepts TOEFL iBT (minimum score 90, with a minimum section score of 20).","The university does not have a specific minimum GPA requirement. However, a strong academic record is essential, as admission is highly competitive. Applicants are assessed based on their previous academic qualifications and program-specific requirements.","Standardized tests are not a general requirement, but certain programs, particularly at the graduate level, may require a GMAT or GRE score. For example, a minimum GMAT score of 545 is sometimes needed.","The overall acceptance rate is around 34% according to some sources, while others report a rate of around 58%. The acceptance rate for specific programs can vary significantly and may be much lower.","tuition fees for non-EU/EEA students vary significantly by program and degree level. A typical bachelor's program can cost around $11,500 to $13,500 USD (120,000 to 140,000 SEK) per year. Master's programs can cost between $12,000 and $17,000 USD (125,000 to 170,000 SEK) annually. There is also a mandatory application fee of 900 SEK.",There are no tuition fees for Swedish and EU/EEA citizens.,1/39,72,"Yes, Lund University offers several scholarships for international students, including the Lund University Global Scholarship, which is a merit-based award that can cover a portion or the full amount of the tuition fee. There are also scholarships from the Swedish Institute and other external organizations.",Public,10:1 or 12:1,https://www.lunduniversity.lu.se/
Uppsala University,Sweden,Swedish and English,"For bachelor's programs, a minimum IELTS Academic score of 6.5 is required, with no section score lower than 5.5. For master's programs, a score of 7.0 is required, with no section score lower than 6.0. The university also accepts TOEFL iBT (minimum score 90 for bachelors and 100 for masters) and PTE Academic (minimum 62 for bachelors and 68 for masters).","The university does not have a specific minimum GPA. However, a strong academic record is crucial for admission. A reputable source states a preferred GPA of 3.0 or higher. Admission for international students is based on their upper secondary school grades.","Standardized tests are not a general requirement, but certain programs, particularly at the graduate level, may require a GMAT or GRE score. For example, a minimum GMAT score of 545 is sometimes needed for business-related master's programs.","overall acceptance rate of around 75-80%. However, admission to specific programs can be very competitive, and meeting the minimum requirements does not guarantee acceptance.","tuition fees for non-EU/EEA students vary significantly by program and degree level. A typical bachelor's program can cost around $10,500 to $12,500 USD (110,000 to 130,000 SEK) per year. Master's programs can cost between $10,000 and $25,000 USD (105,000 to 260,000 SEK) annually. There is also a mandatory application fee of 900 SEK.",There are no tuition fees for Swedish and EU/EEA citizens.,2/39,93,"Yes, Uppsala University offers several scholarships for international students, including the Uppsala University Global Scholarship, which is a merit-based award that can cover a portion or the full amount of the tuition fee. There are also scholarships from the Swedish Institute and other external organizations.",Public,10:1 to 11:1,https://www.uu.se/en/
Karolinska Institutet (medical university),Sweden,Swedish and English,"For most programs, a minimum IELTS Academic score of 6.5 is required, with no section score lower than 5.5. The university also accepts TOEFL (minimum 90, with a minimum of 20 in the written test) and other equivalent tests as accepted by University Admissions in Sweden.","The university does not have a specific minimum GPA requirement, but a strong academic record is essential for admission. Admission is highly competitive, with some sources stating a minimum GPA of 2.8 is needed to be considered.","Standardized tests are not a general requirement, but certain programs, particularly at the graduate level, may require a GMAT or GRE score. For example, a minimum GMAT score of 600 is sometimes needed for business-related master's programs.",reported acceptance rate of 3.9%. This makes it one of the most selective universities in Sweden and globally.,"tuition fees for non-EU/EEA students vary significantly by program and degree level. A typical master's program can cost around $17,500 to $20,000 USD (180,000 to 200,000 SEK) per year. There is also a mandatory application fee of 900 SEK.",There are no tuition fees for Swedish and EU/EEA citizens.,ranked as the top medical university in Sweden,78,"Yes, Karolinska Institutet offers a limited number of scholarships for international students, including the Karolinska Institutet Global Master's Scholarship, which covers the tuition fee. There are also scholarships from the Swedish Institute and other external organizations.",Public,5:1 or 10:1,https://ki.se/en
KTH Royal Institute of Technology,Sweden,Swedish and English,"For most programs, a minimum IELTS Academic score of 6.5 is required, with no section score lower than 5.5. The university also accepts TOEFL iBT (minimum 90, with a minimum section score of 20).","The university does not have a specific minimum GPA requirement. Admission is highly competitive and is based on a comprehensive assessment of previous academic qualifications, including grades, the quality of the prior institution, and the suitability of the education for the chosen program.","Standardized tests are not a general requirement, but certain programs, particularly at the graduate level, may require a GMAT or GRE score. For example, a minimum GMAT score of 545 is sometimes needed."," The acceptance rate for master's programs is around 29%, while the rate for bachelor's programs is much lower at around 7%.","tuition fees for non-EU/EEA students vary significantly by program and degree level. A typical master's program can cost around $12,000 to $17,000 USD (125,000 to 170,000 SEK) per year. There is also a mandatory application fee of 900 SEK.",There are no tuition fees for Swedish and EU/EEA citizens.,ranked as a top technical university in Sweden. 2/39,72,"Yes, KTH offers several scholarships for international students, including the KTH Scholarship, which is a merit-based award that can cover the full tuition fee. There are also scholarships from the Swedish Institute and other external organizations.",Public,8:1 to 12:1,https://www.kth.se/en
Stockholm University,Sweden,Swedish and English,"For most programs, a minimum IELTS Academic score of 6.5 is required, with no section score lower than 5.5. The university also accepts a TOEFL iBT score of 90 (with a minimum of 20 on the written section).","The university does not have a specific minimum GPA requirement. Admission is highly competitive and is based on a comprehensive assessment of previous academic qualifications, including grades, the quality of the prior institution, and the suitability of the education for the chosen program","Standardized tests are not a general requirement, but certain programs, particularly at the graduate level, may require a GMAT or GRE score. For some business programs, a minimum GMAT score of 545 is sometimes needed.",reported overall acceptance rate of 24%.,"tuition fees for non-EU/EEA students vary significantly by program and degree level. A typical bachelor's program can cost around $11,500 USD (120,000 SEK) per year. Master's programs can cost between $11,000 and $17,000 USD (90,000 to 140,000 SEK) annually. There is also a mandatory application fee of 900 SEK.",There are no tuition fees for Swedish and EU/EEA citizens.,5/39,147,"Yes, Stockholm University offers several scholarships for international students, including the Stockholm University Scholarship, which is a merit-based award that can cover the full tuition fee. There are also scholarships from the Swedish Institute and other external organizations.",Public,6:1,https://www.su.se/english/
Chalmers University of Technology,Sweden,Swedish and English,"For most programs, a minimum IELTS Academic score of 6.5 is required, with no band score lower than 5.5. Some programs, particularly at the master's level, may require a higher score of 7.0. The university also accepts a TOEFL iBT score of 90 (with a minimum of 20 on the written section).","The university does not have a specific minimum GPA. However, a strong academic record is crucial for admission, as it's a highly competitive institution. A reputable source states a preferred GPA of 2.8 or higher to be considered, but meeting this requirement does not guarantee acceptance.","Standardized tests are not a general requirement, but certain programs, particularly at the graduate level, may require a GMAT or GRE score. For some business programs, a minimum GMAT score of 545 is sometimes needed.","The overall acceptance rate is around 79%, while the acceptance rate for master's programs is around 29%, and for bachelor's programs, it's around 7%.","tuition fees for non-EU/EEA students vary by program and degree level. A typical master's program can cost between $12,000 and $17,000 USD per year. There is also a mandatory application fee of 900 SEK.",There are no tuition fees for Swedish and EU/EEA citizens.,9/39,139,"Yes, Chalmers offers a wide range of scholarships for international students, including the Chalmers IPOET Scholarships, which can cover 75% of the tuition fee or even the full tuition fee for students with outstanding academic records. There are also scholarships from the Swedish Institute and other external organizations.",Public,9:1,https://www.chalmers.se/en/
University of Gothenburg,Sweden,Swedish and English,"For most programs, a minimum IELTS Academic score of 6.5 is required, with no section score lower than 5.5. The university also accepts a TOEFL iBT score of 90 (with a minimum of 20 on the written section).","The university does not have a specific minimum GPA requirement. However, a strong academic record is crucial for admission. A reputable source states a preferred GPA of 2.8 or higher to be considered, but meeting this requirement does not guarantee acceptance.","Standardized tests are not a general requirement, but certain programs, particularly at the graduate level, may require a GMAT or GRE score. For some business programs, a minimum GMAT score of 545 is sometimes needed.","overall acceptance rate of around 55%. However, certain faculties, especially for medicine and other highly sought-after fields, are highly competitive.","tuition fees for non-EU/EEA students vary significantly by program and degree level. A typical bachelor's program can cost around $11,500 to $13,500 USD (120,000 to 140,000 SEK) per year. Master's programs can cost between $12,000 and $17,000 USD (125,000 to 170,000 SEK) annually. There is also a mandatory application fee of 900 SEK.",There are no tuition fees for Swedish and EU/EEA citizens.,6/39,202,"Yes, the University of Gothenburg offers several scholarships for international students, including the Axel Adler Scholarship, which is a merit-based award that can cover a portion or the full amount of the tuition fee. There are also scholarships from the Swedish Institute and other external organizations.",Public,12:1,https://www.gu.se/en/
Linköping University,Sweden,Swedish and English,"For most programs, a minimum IELTS Academic score of 6.5 is required, with no band score lower than 5.5. The university also accepts TOEFL iBT (minimum score 90, with a minimum section score of 20).","The university does not have a specific minimum GPA requirement. Admission is based on a comprehensive assessment of previous academic qualifications, including grades, the quality of the prior institution, and the suitability of the education for the chosen program.","Standardized tests are not a general requirement, but a well-balanced GMAT or GRE score may strengthen your application for certain master's programs, such as in economics or management.",reported acceptance rate of 40-50%.,"tuition fees for non-EU/EEA students vary significantly by program and degree level. A typical master's program can cost around $7,000 to $25,000 USD (80,000 to 280,600 SEK) annually. There is also a mandatory application fee of 900 SEK.",There are no tuition fees for Swedish and EU/EEA citizens.,8/39,310,"Yes, Linköping University offers a limited number of scholarships for international students, including the LiU International Scholarship, which is a merit-based award that can cover a portion or the full amount of the tuition fee. There are also scholarships from the Swedish Institute and other external organizations.",Public,7:1,https://liu.se/en/
Umeå University,Sweden,Swedish and English,"For most programs, a minimum IELTS Academic score of 6.5 is required, with no section score lower than 5.5. Some specific programs, especially at the graduate level, may require an IELTS score of 7.0 or higher. The university also accepts TOEFL iBT (minimum 90) and other equivalent English proficiency tests.","The university does not have a specific minimum GPA requirement. Admission is highly competitive and is based on a comprehensive assessment of previous academic qualifications, including grades, the quality of the prior institution, and the suitability of the education for the chosen program.","Standardized tests are not a general requirement, but a well-balanced GMAT or GRE score may strengthen your application for certain master's programs, such as those in economics or management.","A reputable source states a general acceptance rate of 41%, but this can vary significantly by program and is subject to change.","tuition fees for non-EU/EEA students vary significantly by program and degree level. A typical bachelor's or master's program can cost around $10,000 to $15,000 USD per year. There is also a mandatory application fee of 900 SEK (approx. $86 USD).",There are no tuition fees for Swedish and EU/EEA citizens.,7/39,401,"Yes, Umeå University offers a limited number of scholarships for international students, including the Umeå University Scholarship, which is a merit-based award that can cover a portion or the full amount of the tuition fee. There are also scholarships from the Swedish Institute and other external organizations",Public,15:1.,https://www.umu.se/en/
Swedish University of Agricultural Sciences (SLU),Sweden,Swedish and English,"For most programs, a minimum IELTS Academic score of 6.5 is required, with no band score lower than 5.5. The university also accepts a TOEFL iBT score of 90 (with a minimum of 20 on the written section).","The university does not have a specific minimum GPA. However, a strong academic record is crucial for admission. A reputable source states a preferred minimum GPA of 2.8 or higher to be considered.","Standardized tests are not a general requirement, but a well-balanced GMAT or GRE score may strengthen your application for certain master's programs, such as in economics or management.","A specific acceptance rate is not publicly available, but a reputable source states that it is a moderately to highly selective institution.","tuition fees for non-EU/EEA students vary significantly by program and degree level. A typical master's program can cost from $11,310 to $32,400 USD (141,000 to 324,000 SEK) annually. There is also a mandatory application fee of 900 SEK (approx. $86 USD).",There are no tuition fees for Swedish and EU/EEA citizens.,10/39,351-400,"Yes, the university offers a limited number of scholarships for international students. Students may also be eligible for external scholarships offered by the Swedish Institute and other external organizations.",Public,1.3:1,https://www.slu.se/en/
Luleå University of Technology,Sweden,Swedish and English,"For most programs, a minimum IELTS Academic score of 6.5 is required, with no band score lower than 5.5. The university also accepts a TOEFL iBT score of 90 (with a minimum of 20 on the written section).","The university does not have a specific minimum GPA requirement, but a strong academic record is crucial for admission. A reputable source states a preferred GPA of 2.7 or higher to be considered, but meeting this requirement does not guarantee acceptance.","Standardized tests are not a general requirement, but a well-balanced GMAT or GRE score may strengthen your application for certain master's programs, such as in economics or management.","reported overall acceptance rate of 41%. However, certain faculties, especially for engineering and other highly sought-after fields, are highly competitive.","tuition fees for non-EU/EEA students vary significantly by program and degree level. A typical bachelor's program can cost around $6,700 to $9,600 USD (70,000 to 100,000 SEK) per year, while master's programs can cost up to $32,400 USD (338,000 SEK) annually. There is also a mandatory application fee of 900 SEK (approx. $86 USD).",There are no tuition fees for Swedish and EU/EEA citizens.,13/39,438,"Yes, Luleå University of Technology offers a limited number of scholarships for international students. Students may also be eligible for external scholarships offered by the Swedish Institute and other external organizations. The university also offers a scholarship that covers the tuition fee for students in the Bachelor Programme in Mineral Resource Engineering.",Public,9:1,https://www.ltu.se/en
Örebro University,Sweden,Swedish and English,"For most programs, a minimum IELTS Academic score of 6.5 is required, with no section score lower than 5.5. The university also accepts TOEFL iBT (minimum score 90, with a minimum section score of 20).","The university does not have a specific minimum GPA requirement. Admission is based on a comprehensive assessment of previous academic qualifications, including high school grades and, for international students, the University Admissions in Sweden system. Some sources state an average entrance score of 75% or an average SAT score of 1200.","Standardized tests are not a general requirement, but a well-balanced GMAT or GRE score may strengthen your application for certain master's programs, such as in economics or management."," reported acceptance rate of 28%. However, this can vary significantly by program and is subject to change.","tuition fees for non-EU/EEA students vary by program and degree level. A typical bachelor's program can cost from $11,000 to $12,000 USD per year. Master's programs can cost up to $11,000 USD annually. There is also a mandatory application fee of 900 SEK (approx. $86 USD).",There are no tuition fees for Swedish and EU/EEA citizens.,12/39,501-600,"Yes, Örebro University offers a limited number of scholarships for international students, including the Örebro University Scholarship, which is a merit-based award that can cover a portion or the full amount of the tuition fee. There are also scholarships from the Swedish Institute and other external organizations.",Public,23:1,https://www.oru.se/english/
Karlstad University,Sweden,Swedish and English,"For most programs, a minimum IELTS Academic score of 6.5 is required, with no section score lower than 5.5. The university also accepts a TOEFL iBT score of 90 (with a minimum of 20 on the written section).","The university does not have a specific minimum GPA requirement. Admission is based on a comprehensive assessment of previous academic qualifications, including high school grades. A reputable source states a preferred GPA of 2.7 or higher to be considered, but meeting this requirement does not guarantee acceptance.","Standardized tests are not a general requirement, but a well-balanced GMAT or GRE score may strengthen your application for certain master's programs, such as in economics or management.","reported acceptance rate of 28%. However, this can vary significantly by program and is subject to change.","tuition fees for non-EU/EEA students vary by program and degree level. A typical bachelor's program can cost from $6,700 to $9,600 USD (70,000 to 100,000 SEK) per year, while master's programs can cost up to $32,400 USD (338,000 SEK) annually. There is also a mandatory application fee of 900 SEK (approx. $86 USD).",There are no tuition fees for Swedish and EU/EEA citizens.,16/39,501-600,"Yes, Karlstad University offers a limited number of scholarships for international students, including the Karlstad University Global Scholarship, which is a merit-based award that can cover a portion or the full amount of the tuition fee. There are also scholarships from the Swedish Institute and other external organizations.",Public,13:1,https://www.kau.se/en/
